unix,open,high,low,close
1640325180,51022.58,51022.58,51002.67,51002.67
1640325120,51022.65,51022.65,51001.43,51017.38
1640325060,51024.41,51024.41,51024.41,51024.41
1640325000,50991.08,50999.26,50991.08,50999.26
1640324940,50976.21,50976.21,50972.47,50972.47
1640324880,51002.84,51013.53,51002.84,51013.53
1640324820,50977.73,51010.2,50977.73,51010.2
1640324760,50980.27,50992.38,50961.93,50971.58
1640324700,50983.85,50992.38,50974.6,50992.38
1640324640,50978.96,50984.6,50978.96,50984.6
1640324580,50963.3,50976.5,50963.3,50976.5
1640324520,50948.76,50948.76,50948.76,50948.76
1640324460,50949.49,50968.53,50940.66,50940.66
1640324400,50952.05,50954.67,50924.77,50924.77
1640324340,50929.02,50951.83,50924.27,50937.92
1640324280,50934.73,50934.73,50934.73,50934.73
1640324220,50982.78,50982.78,50943.37,50950.81
1640324160,50977.97,50977.98,50977.96,50977.98
1640324100,50924.34,50979.42,50924.34,50963.81
1640324040,50924.35,50924.35,50924.35,50924.35
1640323980,50929.88,50965.53,50929.88,50950.37
1640323920,50931.62,50950.49,50833.2,50950.49
1640323860,50920.87,50945.62,50920.87,50931.62
1640323800,50901.08,50915.17,50901.08,50915.17
1640323740,50901.09,50901.09,50863.85,50889.82
1640323680,50931.27,50946.49,50931.27,50946.49
1640323620,50924.5,50953.17,50919.14,50929.87
1640323560,50955,50955,50883.28,50905.93
1640323500,50943.58,50943.58,50942.94,50942.94
1640323440,51005.44,51007.61,51005.44,51007.61
1640323380,51005.58,51005.58,51005.58,51005.58
1640323320,51006.13,51006.13,50990.21,50990.21
1640323260,51015.44,51015.44,51011.68,51011.68
1640323200,51016.01,51016.01,50983.56,51012.92
1640323140,51036.55,51052.87,51036.55,51047.15
1640323080,51020.02,51045.79,51020.02,51045.79
1640323020,51014.09,51018.41,51014.09,51018.41
1640322960,51000,51016.41,50969.86,50969.86
1640322900,50992.6,50992.6,50992.6,50992.6
1640322840,50985.03,51000,50985.03,51000
1640322780,50965.3,50965.33,50945.03,50949.83
1640322720,50978.87,50978.87,50952.23,50978.85
1640322660,50982.32,50982.32,50953.95,50978.83
1640322600,50882.41,50953.53,50882.41,50952.23
1640322540,50899.27,50899.27,50882.52,50882.52
1640322480,50904.53,50904.53,50876.97,50893.72
1640322420,50914.48,50914.48,50914.48,50914.48
1640322360,50888.91,50897.95,50888.91,50897.95
1640322300,50920.44,50920.45,50886,50888.91
1640322240,50913.52,50915.42,50913.52,50915.42
1640322180,50866.08,50952.62,50863.85,50952.62
1640322120,50922.5,50922.5,50883.55,50888.58
1640322060,50934.77,50934.77,50887.79,50922.52
1640322000,50989.42,50989.42,50957.17,50974.46
1640321940,50969.36,50996.01,50961.87,50996.01
1640321880,50993.04,50998.3,50963.47,50979.16
1640321820,51031.06,51031.06,50989.67,50989.67
1640321760,51068.93,51068.93,50946.88,50946.88
1640321700,51098.5,51105.78,51033.83,51033.83
1640321640,51098.5,51098.5,51092.8,51098.5
1640321580,51093.32,51098.5,51093.32,51098.5
1640321520,51088.16,51089.09,51088.16,51089.09
1640321460,51093.33,51093.33,51071.75,51071.75
